Interpolation Weights at U-contact points:  donor = 01, receiver = 02 

   n     Hweight(1)   Hweight(2)   Hweight(3)   Hweight(4)       SUM       Idg   indx5   indx6    XIdgO       XIrg      XIdgR     Jdg   indx8    ETAdgO     ETArg      ETAdgT 
0000036  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   112    9386    9387  111.00000  111.66667  112.00000    54    9561   53.50000   53.83333   54.50000
0000037  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   113    9387    9388  112.00000  112.00000  113.00000    54    9562   53.50000   53.83333   54.50000
0000038  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   113    9387    9388  112.00000  112.33333  113.00000    54    9562   53.50000   53.83333   54.50000
0000039  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   113    9387    9388  112.00000  112.66667  113.00000    54    9562   53.50000   53.83333   54.50000
0000040  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   114    9388    9389  113.00000  113.00000  114.00000    54    9563   53.50000   53.83333   54.50000
0000041  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   114    9388    9389  113.00000  113.33333  114.00000    54    9563   53.50000   53.83333   54.50000
0000042  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   114    9388    9389  113.00000  113.66667  114.00000    54    9563   53.50000   53.83333   54.50000
0000043  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   115    9389    9390  114.00000  114.00000  115.00000    54    9564   53.50000   53.83333   54.50000
0000044  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   115    9389    9390  114.00000  114.33333  115.00000    54    9564   53.50000   53.83333   54.50000
0000045  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   115    9389    9390  114.00000  114.66667  115.00000    54    9564   53.50000   53.83333   54.50000
0000046  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   116    9390    9391  115.00000  115.00000  116.00000    54    9565   53.50000   53.83333   54.50000
0000047  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   116    9390    9391  115.00000  115.33333  116.00000    54    9565   53.50000   53.83333   54.50000
0000048  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   116    9390    9391  115.00000  115.66667  116.00000    54    9565   53.50000   53.83333   54.50000
0000049  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   117    9391    9392  116.00000  116.00000  117.00000    54    9566   53.50000   53.83333   54.50000
0000050  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   117    9391    9392  116.00000  116.33333  117.00000    54    9566   53.50000   53.83333   54.50000
0000051  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   117    9391    9392  116.00000  116.66667  117.00000    54    9566   53.50000   53.83333   54.50000
0000052  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   118    9392    9393  117.00000  117.00000  118.00000    54    9567   53.50000   53.83333   54.50000
0000053  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   118    9392    9393  117.00000  117.33333  118.00000    54    9567   53.50000   53.83333   54.50000
0000054  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   118    9392    9393  117.00000  117.66667  118.00000    54    9567   53.50000   53.83333   54.50000
0000055  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   119    9393    9394  118.00000  118.00000  119.00000    54    9568   53.50000   53.83333   54.50000
0000056  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   119    9393    9394  118.00000  118.33333  119.00000    54    9568   53.50000   53.83333   54.50000
0000057  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   119    9393    9394  118.00000  118.66667  119.00000    54    9568   53.50000   53.83333   54.50000
0000058  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   120    9394    9395  119.00000  119.00000  120.00000    54    9569   53.50000   53.83333   54.50000
0000059  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   120    9394    9395  119.00000  119.33333  120.00000    54    9569   53.50000   53.83333   54.50000
0000060  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   120    9394    9395  119.00000  119.66667  120.00000    54    9569   53.50000   53.83333   54.50000
0000061  6.66667e-01  0.00000e+00  0.00000e+00  3.33333e-01  1.00000e+00   121    9395    9396  120.00000  120.00000  121.00000    54    9570   53.50000   53.83333   54.50000
0000062  4.44444e-01  2.22222e-01  1.11111e-01  2.22222e-01  1.00000e+00   121    9395    9396  120.00000  120.33333  121.00000    54    9570   53.50000   53.83333   54.50000
0000063  2.22222e-01  4.44444e-01  2.22222e-01  1.11111e-01  1.00000e+00   121    9395    9396  120.00000  120.66667  121.00000    54    9570   53.50000   53.83333   54.50000
0000064  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   101    9375    9376  100.00000  100.00000  101.00000    54    9550   53.50000   54.16667   54.50000
0000065  2.22222e-01  1.11111e-01  2.22222e-01  4.44444e-01  1.00000e+00   101    9375    9376  100.00000  100.33333  101.00000    54    9550   53.50000   54.16667   54.50000
0000066  1.11111e-01  2.22222e-01  4.44444e-01  2.22222e-01  1.00000e+00   101    9375    9376  100.00000  100.66667  101.00000    54    9550   53.50000   54.16667   54.50000
0000067  3.33333e-01  0.00000e+00  0.00000e+00  6.66667e-01  1.00000e+00   102    9376    9377  101.00000  101.00000  102.00000    54    9551   53.50000   54.16667   54.50000
